object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location,title,publication,tropes,date,publisher_location,author,volume_number,issue_number,pages,permission,monograph_publishers,arhival_holding,archival_location,cost,permission_acknowledgement,permission_statements,acquisitions,document_intro,image_description,transcripts,group_reprint_id,reprint_type,filename,objectid,object_location,format,display_template
ChristianAdvocateAndJournal1847_Original,ChristianAdvocateAndJournal1847,compound_object,,ChristianAdvocateAndJournal1847_DigSur_1.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_1.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_1.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_1.png,multiple,compound_object
ChristianAdvocateAndJournal1847_img1,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_1.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_1.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_1.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img1,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_1.png,image,image
ChristianAdvocateAndJournal1847_img2,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_2.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_2.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_2.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img2,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_2.png,image,image
ChristianAdvocateAndJournal1847_img3,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_3.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_3.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_3.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img3,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_3.png,image,image
ChristianAdvocateAndJournal1847_img4,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_4.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_4.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_4.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img4,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_4.png,image,image
ChristianAdvocateAndJournal1847_img5,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_5.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_5.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_5.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img5,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_5.png,image,image
ChristianAdvocateAndJournal1847_img6,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_6.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_6.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_6.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img6,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_6.png,image,image
ChristianAdvocateAndJournal1847_img7,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_7.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_7.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_7.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img7,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_7.png,image,image
ChristianAdvocateAndJournal1847_img8,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_8.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_8.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_8.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img8,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_8.png,image,image
ChristianAdvocateAndJournal1847_img9,ChristianAdvocateAndJournal1847,image,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct,ChristianAdvocateAndJournal1847_DigSur_9.png,objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_9.png,"""A Female Crusoe""",New York Christian Advocate and Journal,Lazy Indian; Noble Savage; Jump Overboard; Indian Queen; Girl Crusoe; Wild Child,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,,,TheBostonAtlas1847_reprint,direct,ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_9.png,ChristianAdvocateAndJournal1847__TheBostonAtlas1847_reprint__direct__img9,/objects/ChristianAdvocateAndJournal1847/ChristianAdvocateAndJournal1847_DigSur_9.png,image,image
